,userid,user_state,event_name,event_attributes,event_created_date,event_platform,device_manufacture,device_model,month
0,c95c777785faec8dd910d019d7278ebe,CA,Add Vehicle Success,"{""Make"":""Dodge"",""Model"":""Caravan"",""Color"":""White"",""Year"":""2019"",""Temporary"":""false"",""Start Date"":"""",""End Date"":"""",""Rental state"":""""}",2022-01-16 17:03:04,android,samsung,SM-N9,1
1,c95c777785faec8dd910d019d7278ebe,CA,Add Vehicle Break,{},2022-01-16 17:07:47,android,samsung,SM-N9,1
2,f344be2d9a042b7444f3cc5279e38ef1,FL,Calculator View,{},2022-01-16 17:16:25,android,samsung,SM-G9,1
3,c95c777785faec8dd910d019d7278ebe,CA,Add Payment Method Success,"{""Payment Method"":""Credit"",""Tokenized Pay"":""""}",2022-01-16 17:24:22,android,samsung,SM-N9,1
4,e331ed81422d8fba55520a43a872e701,IL,Sign Up Success,"{""Method"":""Apple""}",2022-01-16 17:34:51,ios,Apple,iPhone12,1
5,f6d930969a59cfb488ed4d126c7c856d,TX,Sign Up Success,"{""Method"":""Google""}",2022-01-16 18:26:41,android,samsung,SM-A7,1
6,4ddc1ecfc4f1a31c22bb1346ae6c7c5b,TX,Sign Up Success,"{""Method"":""Google""}",2022-01-16 19:05:48,android,samsung,SM-A5,1
7,4d4f4f33c2fd7393093d9f535a92f784,CA,Sign Up Success,"{""Method"":""Google""}",2022-01-16 19:17:39,ios,Apple,iPhone14,1
8,4d4f4f33c2fd7393093d9f535a92f784,CA,Add Vehicle Success,"{""Make"":""Ford"",""Model"":""F-150"",""Temporary"":""false"",""Color"":""Black"",""Year"":""2017""}",2022-01-16 19:20:27,ios,Apple,iPhone14,1
9,d6da62f56ee3f76a9cc7f9be92de9253,CA,Sign Up Success,"{""Method"":""Apple""}",2022-01-16 19:30:19,ios,Apple,iPhone14,1
10,d6da62f56ee3f76a9cc7f9be92de9253,CA,Add Vehicle Success,"{""Start Date"":""16/01/2022"",""Make"":""Chevrolet"",""Model"":""Malibu"",""Temporary"":""true"",""Rental State"":""CA"",""End Date"":""18/01/2022"",""Color"":""White"",""Year"":""2020""}",2022-01-16 19:33:28,ios,Apple,iPhone14,1
11,86963a8dd513a1f38f9f6bd867b45033,CA,Sign Up Success,"{""Method"":""Facebook""}",2022-01-16 19:37:46,ios,Apple,iPhone13,1
12,86963a8dd513a1f38f9f6bd867b45033,CA,Add Vehicle Success,"{""Year"":""2012"",""Model"":""Camry"",""Temporary"":""false"",""Color"":""Black"",""Make"":""Toyota""}",2022-01-16 19:38:35,ios,Apple,iPhone13,1
13,5b5ee48d9887d347ce297bc14c395f7a,CA,Sign Up Success,"{""Method"":""Apple""}",2022-01-16 19:42:08,ios,Apple,iPhone14,1
14,5b5ee48d9887d347ce297bc14c395f7a,CA,Add Vehicle Success,"{""Start Date"":""16/01/2022"",""Year"":""2021"",""Model"":""HR-V"",""Temporary"":""true"",""Rental State"":""CA"",""End Date"":""17/01/2022"",""Color"":""Black"",""Make"":""Honda""}",2022-01-16 19:46:59,ios,Apple,iPhone14,1
15,5b5ee48d9887d347ce297bc14c395f7a,CA,Add Payment Method Success,"{""Payment Method"":""Credit""}",2022-01-16 19:48:30,ios,Apple,iPhone14,1
16,55697c0d6bdf46c288555f38d23faa83,CA,Sign Up Success,"{""Method"":""Facebook""}",2022-01-16 20:24:59,ios,Apple,iPhone13,1
17,55697c0d6bdf46c288555f38d23faa83,CA,Add Vehicle Success,"{""Color"":""White"",""Make"":""Toyota"",""Model"":""Matrix"",""Temporary"":""false"",""Year"":""2010""}",2022-01-16 20:25:49,ios,Apple,iPhone13,1
18,55697c0d6bdf46c288555f38d23faa83,CA,Add Payment Method Failed,"{""Error Code"":""ERROR-16010"",""Payment Method"":""Credit Card"",""Error Message"":""Card is debit but credit is required.""}",2022-01-16 20:26:43,ios,Apple,iPhone13,1
19,9a52cf418ad2a4261777f64bb60dd365,TX,Wallet Opened,{},2022-01-16 20:29:06,ios,Apple,iPhone12,1
20,c5cf3fc44b606d4614a834a5306e9616,other,Sign Up Success,"{""Method"":""Email""}",2022-01-16 21:01:55,android,TCL,TCL,1
21,d0dba8130afc18489277d8e6c4af0b1a,CA,Sign Up Success,"{""Method"":""Apple""}",2022-01-16 21:15:08,ios,Apple,iPhone13,1
22,d0dba8130afc18489277d8e6c4af0b1a,CA,Add Vehicle Success,"{""Year"":""2015"",""Model"":""Grand Cherokee"",""Temporary"":""false"",""Color"":""Gray"",""Make"":""Jeep""}",2022-01-16 21:16:15,ios,Apple,iPhone13,1
23,c664cc762bdcb88230b4b4f07e3b7d2e,CA,Transaction Refund,"{""Id"":""708ee8f2012042b121be7dcdd6df256a"",""Amount"":""-18.01""}",2022-01-16 21:41:05,outofband,outofband,outofband,1
24,34eaea85a21ef185ee9887bd73247961,CA,Sign Up Success,"{""Method"":""Email""}",2022-01-16 21:57:54,ios,Apple,iPhone13,1
25,34eaea85a21ef185ee9887bd73247961,CA,Email Confirmation Success,"{""Required"":""true""}",2022-01-16 21:58:27,ios,Apple,iPhone13,1
26,34eaea85a21ef185ee9887bd73247961,CA,Add Vehicle Success,"{""Year"":""2012"",""Model"":""xB"",""Temporary"":""false"",""Color"":""White"",""Make"":""Scion""}",2022-01-16 22:00:04,ios,Apple,iPhone13,1
27,29967dd5fd4759cd4d408ee978fb1b19,CA,Sign Up Success,"{""Method"":""Google""}",2022-01-16 22:55:03,android,samsung,SM-G9,1
28,017f4557810b3ba165d2959c17b916b6,TX,Sign Up Success,"{""Method"":""Email""}",2022-01-17 00:00:47,ios,Apple,iPhone13,1
